# z mu
0.014 14.57001926 
0.0194 15.2279603507
0.0264 15.934102317
0.0329 16.4217829558
0.0396 16.836418956
0.0475 17.2346439906
0.056 17.5758459622
0.064 17.9104543501
0.0721 18.1780074589
0.0811 18.5543855764
0.0889 18.7006554037
0.1001 19.0388242428
0.1071 19.1720185353
0.1195 19.3711295152
0.1278 19.5555026238
0.1396 19.8185930766
0.1519 19.9445025196
0.1635 20.0642537602
0.1778 20.3389008923
0.1906 20.5047456137
0.2067 20.6854007995
0.2216 20.8610322507
0.2405 21.0518440051
0.2558 21.2037930719
0.2762 21.3636137766
0.2972 21.5790014334
0.3215 21.813277279
0.3453 21.9665751024
0.3708 22.1428940056
0.4049 22.3799192408
0.4355 22.5579272526
0.4738 22.797376642
0.5174 23.0011594448
0.5742 23.3004345026
0.6299 23.5036280324
0.724 23.8666293039
0.821 24.2445519795
0.9511 24.6411323707
1.2336 25.3039940191
1.6123 25.9259729107
